,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Year,School,Conf,Class,Pos,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
2014,Georgia Southern,Sun Belt,SO,RB,12,171,1485,8.7,17,8,97,12.1,1,179,1582,8.8,18
*2015,Georgia Southern,Sun Belt,JR,RB,13,203,1609,7.9,17,3,6,2.0,0,206,1615,7.8,17
2016,Georgia Southern,Sun Belt,SR,RB,12,168,646,3.8,3,11,53,4.8,2,179,699,3.9,5
Career,Georgia Southern,,,,,542,3740,6.9,37,22,156,7.1,3,564,3896,6.9,40
