Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
423,Derek Watt\WattDe00,LAC,25,fb,16,4,3,2,66.7%,35,17.5,0,23,0.1,2.2,0
424,Terrance West\WestTe00,BAL,26,rb,5,4,4,2,50.0%,23,11.5,0,15,0.4,4.6,1
425,Kevin White\WhitKe00,CHI,25,wr,1,1,4,2,50.0%,6,3.0,0,6,2.0,6.0,0
426,Cameron Artis-Payne\ArtiCa00,CAR,27,,13,0,1,1,100.0%,2,2.0,0,2,0.1,0.2,0
427,Nick Bellore\BellNi01,DET,28,mlb,13,2,1,1,100.0%,1,1.0,1,1,0.1,0.1,0
428,Arrelious Benn\BennAr00,JAX,29,,9,0,2,1,50.0%,12,12.0,0,12,0.1,1.3,0
429,Brandon Bolden\BoldBr00,NWE,27,,16,0,4,1,25.0%,7,7.0,0,7,0.1,0.4,0
430,Mack Brown\BrowMa02,2TM,26,,4,0,1,1,100.0%,11,11.0,0,11,0.3,2.8,0
431,Harry Douglas\DougHa00,TEN,33,,2,0,3,1,33.3%,8,8.0,0,8,0.5,4.0,0
432,Lance Dunbar\DunbLa00,LAR,27,,4,0,3,1,33.3%,1,1.0,0,1,0.3,0.3,0
433,Jimmy Garoppolo\GaroJi00,SFO,26,qb,6,5,1,1,100.0%,-6,-6.0,0,-6,0.2,-1.0,1
434,Mike Gillislee\GillMi00,NWE,27,rb,9,2,1,1,100.0%,15,15.0,0,15,0.1,1.7,1
435,MarQueis Gray\GrayMa00,MIA,28,,16,0,3,1,33.3%,10,10.0,0,10,0.1,0.6,0
436,Garrett Griffin\GrifGa00,NOR,23,,3,0,1,1,100.0%,4,4.0,0,4,0.3,1.3,0
437,Cobi Hamilton\HamiCo00,HOU,27,wr,3,1,6,1,16.7%,8,8.0,0,8,0.3,2.7,0
438,Matt Hazel\HazeMa01,IND,25,,4,0,1,1,100.0%,1,1.0,0,1,0.3,0.3,0
439,Brett Hundley\HundBr00,GNB,24,QB,11,9,1,1,100.0%,10,10.0,0,10,0.1,0.9,4
440,Taiwan Jones\JoneTa00,BUF,29,,8,0,2,1,50.0%,11,11.0,0,11,0.1,1.4,0
441,Joe Kerridge\KerrJo00,GNB,25,,4,0,1,1,100.0%,3,3.0,0,3,0.3,0.8,0
442,Jordan Leslie\LeslJo00,CLE,26,,2,0,1,1,100.0%,26,26.0,0,26,0.5,13.0,0
