Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Julio Jones*\JoneJu02,ATL,29,WR,16,16,170,113,66.5%,1677,14.8,8,58,7.1,104.8,2
2,Davante Adams*\AdamDa01,GNB,26,WR,15,15,169,111,65.7%,1386,12.5,13,57,7.4,92.4,0
3,Antonio Brown*\BrowAn04,PIT,30,WR,15,15,168,104,61.9%,1297,12.5,15,78,6.9,86.5,0
4,JuJu Smith-Schuster*\SmitJu00,PIT,22,WR,16,13,166,111,66.9%,1426,12.8,7,97,6.9,89.1,1
5,DeAndre Hopkins*+\HopkDe00,HOU,26,WR,16,16,163,115,70.6%,1572,13.7,11,49,7.2,98.3,2
6,Zach Ertz*\ErtzZa00,PHI,28,TE,16,16,156,116,74.4%,1163,10.0,8,34,7.3,72.7,1
7,Adam Thielen*\ThieAd00,MIN,28,WR,16,16,153,113,73.9%,1373,12.2,9,68,7.1,85.8,1
8,Travis Kelce*+\KelcTr00,KAN,29,TE,16,16,150,103,68.7%,1336,13.0,10,43,6.4,83.5,2
9,Stefon Diggs\DiggSt00,MIN,25,WR,15,14,149,102,68.5%,1021,10.0,9,75,6.8,68.1,0
10,Jarvis Landry*\LandJa00,CLE,26,WR,16,14,149,81,54.4%,976,12.0,4,51,5.1,61.0,1
11,Michael Thomas*+\ThomMi05,NOR,25,WR,16,16,147,125,85.0%,1405,11.2,9,72,7.8,87.8,2
12,Mike Evans*\EvanMi00,TAM,25,WR,16,16,138,86,62.3%,1524,17.7,8,72,5.4,95.3,2
13,Tyreek Hill*+\HillTy00,KAN,24,WR,16,16,137,87,63.5%,1479,17.0,12,75,5.4,92.4,0
14,Keenan Allen*\AlleKe00,LAC,26,WR,16,14,136,97,71.3%,1196,12.3,6,54,6.1,74.8,3
15,George Kittle*\KittGe00,SFO,25,TE,16,16,136,88,64.7%,1377,15.6,5,85,5.5,86.1,0
16,Robert Woods\WoodRo02,LAR,26,WR,16,16,130,86,66.2%,1219,14.2,6,39,5.4,76.2,0
17,Christian McCaffrey\McCaCh01,CAR,22,RB,16,16,124,107,86.3%,867,8.1,6,38,6.7,54.2,4
18,Odell Beckham\BeckOd00,NYG,26,WR,12,12,124,77,62.1%,1052,13.7,6,51,6.4,87.7,2
