,,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
*2009,Texas,Big 12,FR,WR,14,30,279,9.3,1,2,8,4.0,0,32,287,9.0,1
2010,Texas,Big 12,SO,WR,11,31,324,10.5,1,9,37,4.1,0,40,361,9.0,1
*2011,Texas,Big 12,JR,WR,12,33,421,12.8,2,22,220,10.0,0,55,641,11.7,2
*2012,Texas,Big 12,SR,WR,13,26,340,13.1,3,13,140,10.8,3,39,480,12.3,6
Career,Texas,,,,,120,1364,11.4,7,46,405,8.8,3,166,1769,10.7,10
