,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Total Yds,Total Yds,Total Yds,,
No.,Player,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Touch,Y/Tch,YScm,RRTD,Fmb
30,Todd Gurley*+\GurlTo01,24,RB,14,14,256,1251,17,36,4.9,89.4,18.3,81,59,580,9.8,4,56,4.2,41.4,72.8%,315,5.8,1831,21,1
34,Malcolm Brown\BrowMa03,25,,12,0,43,212,0,19,4.9,17.7,3.6,7,5,52,10.4,1,18,0.4,4.3,71.4%,48,5.5,264,1,0
35,C.J. Anderson\AndeC.00,27,rb,2,2,43,299,2,46,7.0,149.5,21.5,6,4,17,4.3,0,13,2.0,8.5,66.7%,47,6.7,316,2,0
16,Jared Goff*\GoffJa00,24,QB,16,16,43,108,2,16,2.5,6.8,2.7,,,,,,,,,,43,2.5,108,2,12
42,John Kelly\KellJo00,22,,4,0,27,74,0,7,2.7,18.5,6.8,3,2,27,13.5,0,18,0.5,6.8,66.7%,29,3.5,101,0,0
17,Robert Woods\WoodRo02,26,WR,16,16,19,157,1,56,8.3,9.8,1.2,130,86,1219,14.2,6,39,5.4,76.2,66.2%,105,13.1,1376,7,0
12,Brandin Cooks\CookBr00,25,WR,16,16,10,68,1,17,6.8,4.3,0.6,117,80,1204,15.1,5,57,5.0,75.3,68.4%,90,14.1,1272,6,1
14,Sean Mannion\MannSe00,26,,3,0,7,-9,0,3,-1.3,-3.0,2.3,,,,,,,,,,7,-1.3,-9,0,0
18,Cooper Kupp\KuppCo00,25,WR,8,8,4,25,0,12,6.3,3.1,0.5,55,40,566,14.2,6,70,5.0,70.8,72.7%,44,13.4,591,6,0
81,Gerald Everett\EverGe00,24,,16,0,2,16,0,12,8.0,1.0,0.1,50,33,320,9.7,3,40,2.1,20.0,66.0%,35,9.6,336,3,0
83,Josh Reynolds\ReynJo00,23,WR,16,8,2,8,0,10,4.0,0.5,0.1,53,29,402,13.9,5,33,1.8,25.1,54.7%,31,13.2,410,5,0
33,Justin Davis\DaviJu00,23,,11,0,2,19,0,19,9.5,1.7,0.2,,,,,,,,,,2,9.5,19,0,0
6,Johnny Hekker\HekkJo00,28,P,16,0,1,3,0,3,3.0,0.2,0.1,,,,,,,,,,1,3.0,3,0,0
89,Tyler Higbee\HigbTy00,25,TE,16,16,0,0,0,0,,0.0,0.0,34,24,292,12.2,2,36,1.5,18.3,70.6%,24,12.2,292,2,1
11,KhaDarel Hodge\HodgKh00,23,,14,0,0,0,0,0,,0.0,0.0,3,2,17,8.5,0,14,0.1,1.2,66.7%,2,8.5,17,0,0
15,Nick Williams\WillNi02,28,,2,0,0,0,0,0,,0.0,0.0,3,2,17,8.5,0,11,1.0,8.5,66.7%,2,8.5,17,0,0
82,Johnny Mundt\MundJo00,24,,10,0,0,0,0,0,,0.0,0.0,1,1,5,5.0,0,5,0.1,0.5,100.0%,1,5.0,5,0,0
37,Sam Shields\ShieSa00,31,cb/rcb,16,2,0,0,0,0,,0.0,0.0,1,1,12,12.0,0,12,0.1,0.8,100.0%,1,12.0,12,0,0
,Team Total,26.0,,16,,459,2231,23,56,4.9,139.4,28.7,545,368,4730,12.9,32,70,23.0,295.6,,827,8.4,6961,55,17
,Opp Total,,,16,,386,1957,12,,5.1,122.3,24.1,,347,3780,10.9,31,,21.7,236.3,,,,5737,43,14
