,,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
*2014,Washington,Pac-12,FR,WR,13,17,259,15.2,1,0,0,,0,17,259,15.2,1
*2015,Washington,Pac-12,SO,WR,13,30,414,13.8,1,1,-8,-8.0,0,31,406,13.1,1
*2016,Washington,Pac-12,JR,WR,13,53,822,15.5,15,0,0,,0,53,822,15.5,15
*2017,Washington,Pac-12,SR,WR,13,63,761,12.1,7,3,50,16.7,0,66,811,12.3,7
Career,Washington,,,,,163,2256,13.8,24,4,42,10.5,0,167,2298,13.8,24
